iter	Passed	Remaining
641	17433	9721
642	17457	9692
643	17483	9664
644	17509	9637
645	17539	9611
646	17567	9584
647	17594	9557
648	17623	9531
649	17648	9502
650	17671	9473
651	17696	9445
652	17720	9416
653	17743	9387
654	17767	9358
655	17801	9334
656	17840	9314
657	17865	9285
658	17888	9256
659	17913	9228
660	17938	9199
661	17963	9171
662	17998	9148
663	18023	9120
664	18049	9092
665	18076	9065
666	18102	9037
667	18125	9008
668	18149	8979
669	18172	8950
670	18198	8923
671	18228	8897
672	18262	8873
673	18301	8852
674	18334	8827
675	18370	8804
676	18406	8781
677	18445	8760
678	18471	8732
679	18507	8709
680	18543	8686
681	18573	8660
682	18600	8633
683	18629	8606
684	18653	8577
685	18677	8549
686	18701	8520
687	18725	8491
688	18752	8464
689	18775	8435
690	18800	8407
691	18824	8378
692	18848	8349
693	18872	8321
694	18900	8294
695	18927	8267
696	18956	8240
697	18984	8213
698	19009	8185
699	19034	8157
700	19059	8129
701	19084	8101
702	19107	8072
703	19134	8045
704	19161	8017
705	19190	7991
706	19227	7968
707	19262	7944
708	19291	7917
709	19317	7890
710	19350	7865
711	19375	7837
712	19399	7808
713	19425	7781
714	19449	7752
715	19474	7724
716	19497	7695
717	19523	7667
718	19546	7639
719	19571	7611
720	19600	7584
721	19632	7559
722	19660	7532
723	19685	7504
724	19709	7476
725	19734	7447
726	19760	7420
727	19784	7391
728	19807	7363
729	19830	7334
730	19853	7305
731	19876	7277
732	19905	7250
733	19937	7225
734	19962	7197
735	19985	7168
736	20011	7141
737	20045	7116
738	20078	7091
739	20101	7062
740	20124	7034
741	20148	7005
742	20174	6978
743	20208	6953
744	20240	6927
745	20269	6901
746	20297	6874
747	20326	6847
748	20350	6819
749	20378	6792
750	20401	6764
751	20429	6737
752	20453	6709
753	20489	6684
754	20513	6656
755	20535	6627
756	20560	6599
757	20585	6572
758	20611	6544
759	20648	6520
760	20680	6494
761	20709	6468
762	20742	6442
763	20770	6416
764	20795	6388
765	20819	6360
766	20842	6331
767	20866	6303
768	20895	6276
769	20921	6249
770	20944	6220
771	20968	6192
772	20991	6164
773	21016	6136
774	21040	6108
775	21066	6081
776	21096	6054
777	21120	6026
778	21143	5998
779	21168	5970
780	21193	5942
781	21220	5915
782	21246	5888
783	21270	5860
784	21297	5833
785	21320	5804
786	21347	5777
787	21372	5749
788	21403	5723
789	21428	5696
790	21458	5669
791	21495	5645
792	21526	5619
793	21555	5592
794	21584	5565
795	21614	5539
796	21638	5511
797	21665	5484
798	21691	5456
799	21718	5429
800	21742	5401
801	21768	5374
802	21802	5348
803	21830	5321
804	21860	5295
805	21889	5268
806	21921	5242
807	21946	5215
808	21971	5187
809	21996	5159
810	22020	5131
811	22046	5104
812	22077	5078
813	22113	5053
814	22146	5027
815	22174	5000
816	22203	4973
817	22231	4946
818	22255	4918
819	22280	4890
820	22304	4862
821	22333	4836
822	22366	4810
823	22394	4783
824	22418	4755
825	22444	4728
826	22469	4700
827	22494	4672
828	22518	4644
829	22545	4617
830	22569	4589
831	22599	4563
832	22628	4536
833	22655	4509
834	22679	4481
835	22703	4453
836	22729	4426
837	22752	4398
838	22776	4370
839	22802	4343
840	22827	4315
841	22850	4287
842	22874	4260
843	22898	4232
844	22926	4205
845	22954	4178
846	22980	4151
847	23003	4123
848	23026	4095
849	23049	4067
850	23073	4039
851	23099	4012
852	23128	3985
853	23159	3959
854	23186	3932
855	23213	3905
856	23246	3878
857	23275	3852
858	23300	3824
859	23330	3797
860	23353	3770
861	23377	3742
862	23400	3714
863	23426	3687
864	23453	3660
865	23485	3634
866	23510	3606
867	23534	3579
868	23564	3552
869	23597	3526
870	23635	3500
871	23668	3474
872	23701	3448
873	23726	3420
874	23754	3393
875	23777	3365
876	23801	3338
877	23826	3310
878	23855	3283
879	23883	3256
880	23908	3229
881	23943	3203
882	23977	3177
883	24009	3150
884	24041	3124
885	24070	3097
886	24097	3069
887	24120	3042
888	24143	3014
889	24170	2987
890	24199	2960
891	24234	2934
892	24263	2907
893	24289	2879
894	24311	2852
895	24336	2824
896	24361	2797
897	24393	2770
898	24419	2743
899	24444	2716
900	24468	2688
901	24499	2661
902	24523	2634
903	24547	2606
904	24575	2579
905	24600	2552
906	24626	2525
907	24653	2497
908	24678	2470
909	24708	2443
910	24735	2416
911	24763	2389
912	24789	2362
913	24815	2334
914	24838	2307
915	24863	2280
916	24886	2252
917	24911	2225
918	24934	2197
919	24956	2170
920	24979	2142
921	25004	2115
922	25033	2088
923	25063	2061
924	25092	2034
925	25117	2007
926	25146	1980
927	25175	1953
928	25201	1926
929	25224	1898
930	25251	1871
931	25283	1844
932	25316	1817
933	25353	1791
934	25382	1764
935	25405	1737
936	25431	1709
937	25455	1682
938	25479	1655
939	25501	1627
940	25526	1600
941	25550	1573
942	25574	1545
943	25599	1518
944	25627	1491
945	25652	1464
946	25675	1436
947	25699	1409
948	25727	1382
949	25751	1355
950	25775	1328
951	25798	1300
952	25824	1273
953	25848	1246
954	25873	1219
955	25898	1191
956	25931	1165
957	25954	1137
958	25977	1110
959	26001	1083
960	26025	1056
961	26048	1028
962	26071	1001
963	26094	974
964	26121	947
965	26146	920
966	26176	893
967	26210	866
968	26234	839
969	26256	812
970	26281	784
971	26304	757
972	26328	730
973	26351	703
974	26376	676
975	26399	649
976	26423	622
977	26453	595
978	26476	567
979	26503	540
980	26526	513
981	26550	486
982	26573	459
983	26600	432
984	26623	405
985	26646	378
986	26671	351
987	26696	324
988	26722	297
989	26747	270
990	26773	243
991	26796	216
992	26822	189
993	26848	162
994	26878	135
995	26903	108
996	26928	81
997	26951	54
998	26975	27
999	27000	0
